event_id,canonical_speakers,source,notes
313538889,Josh Valdeleon,manual,Feb 2026 Quick Kumustahan session  | 2026-02-27T20:00:00+08:00
313153834,Simonee Ezekiel Mariquit,manual,"Engineering for 40,000: The Minecraft Case Study | DataMasters 2026 Episode 1 | 2026-02-07T19:00:00+08:00"
312862332,"Kamille Nepomuceno, Kyla Andrea Mendoza, Clowee Licsi",manual,Resume Roast Session | DataMasters Episode 24 | 2026-01-17T20:00:00+08:00
312445175,Josh Valdeleon,manual,Data Engineering Bulacan Meetup | 2025-12-20T14:00:00+08:00
312235709,Macky Sunga,manual,Data Science and Coffee | DataMasters Episode 23 | 2025-12-06T19:00:00+08:00
311577394,Johann Tagle,manual,Building a Chat Agent Using Chainlit | 2025-11-28T18:00:00+08:00
311701109,Macky Sunga,manual,Importance of Data Visualization | DataMasters Episode 22 | 2025-11-08T19:00:00+08:00
311387915,Simonee Ezekiel Mariquit,manual,Real Problems That Need AI: Youth Volunteer and Hackathon Joiner's Perspective | 2025-10-12T18:00:00+08:00
311389209,Jeanne Marie B. Quiñanola,manual,Exploratory Data Analysis on Top 100 U.S. Companies | DataMasters Episode 21 | 2025-10-11T19:00:00+08:00
310525515,"Josh Valdeleon, Kristine Cristobal, Mike Belen, Jonald Tinio",manual,Beginner Tambayan Tuesdays | 2025-09-30T15:30:00+08:00
311218713,"Josh Valdeleon, Nina Comia, Kristine Cristobal, Mike Belen, Richi, ",manual,Tambayan ng DEP ????�?�Ep 2: �??Pwede pa ba akong maging data professional this 2025?�?� | 2025-09-27T19:00:00+08:00
310525514,,manual,Beginner Tambayan Tuesdays | 2025-09-23T15:30:00+08:00
310525513,,manual,Beginner Tambayan Tuesdays | 2025-09-16T15:30:00+08:00
310870286,Macky Sunga,manual,Data Science Life Cycle (PPDAC) and Data Exploration | DataMasters Episode 20 | 2025-09-13T19:00:00+08:00
310525512,,manual,Beginner Tambayan Tuesdays | 2025-09-09T15:30:00+08:00
310497955,,manual,Beginner Tambayan Tuesdays | 2025-09-02T15:30:00+08:00
310763531,,manual,Tambay ng Data Engineering Peepz ????�?� Podcast Pilot Episode | 2025-08-30T19:00:00+08:00
310385967,,manual,Beginner Tambayan Tuesdays | 2025-08-26T15:30:00+08:00
310268667,,manual,Beginner Tambayan Tuesdays | 2025-08-19T15:30:00+08:00
310484349,Allexander de la Rosa,manual,DEP DATAMASTERS: ETL Process from SaaS to BigQuery | 2025-08-16T19:00:00+08:00
310276731,,manual,Beginner Tambayan Tuesdays | 2025-08-12T15:30:00+08:00
310407102,Renzi Vidal,manual,"Rapid Prototyping Using Design Thinking, PRDs, Vibe Coding, and Git | 2025-08-10T20:00:00+08:00"
310228223,,manual,Beginner Tambayan Tuesdays | 2025-08-05T15:30:00+08:00
310322823,Katherine Bulac,manual,DEP AI Study Session: What is Agentic AI and Why It Matters | 2025-08-03T20:00:00+08:00
310272383,Myk Ogbinar,manual,???? DataMasters Session | DEP Community Leaders Welcome Program | 2025-08-02T19:00:00+08:00
310122659,,manual,Beginner Tambayan Tuesdays | 2025-07-29T15:30:00+08:00
310099547,Xynil Jhed Lacap,manual," AI Study Session: Explainable AI, Black-Box Models, LIME, SHAP & HCI | 2025-07-27T20:00:00+08:00"
310010409,Junjun Tan,manual,Exploratory Data Analysis of a Pok??mon Dataset!  | 2025-07-19T19:00:00+08:00
308767265,"Myk Ogbinar,Bea Lambitco",manual,Democratizing Data Literacy & Growing a Career in Data | 2025-07-05T18:00:00+08:00
308606905,"Myk Ogbinar, Kyle Escosia ",manual,Data Engineering 101 & Having a Growth Mindset in a Tech Career | 2025-06-28T18:00:00+08:00
308369595,,manual,DEP DataMasters in Walang iwanan sa Digital Bayanihan 2025 | 2025-06-14T18:00:00+08:00
308255666,"Nina Comia, Keith Fajardo",manual,DEP DataMasters: Episode 13 - Resume Review and Interview Practice | 2025-06-07T19:00:00+08:00
308251116,Danielle Bagaforo Meer,manual,Streamlit x Gemini x ChromaDB: Explore how these powerful tools work together! | 2025-06-07T17:00:00+08:00
308037737,Sandy Laugico,manual,DEP South Meetup | 2025-05-31T14:00:00+08:00
307950136,Raven Klein T. Rubin,manual,DEP DataMasters - Episode 12 | 2025-05-24T19:00:00+08:00
307672014,Sandy Laugico,manual,DEP DataMasters - Episode 11: End-to-End eCommerce Data Engineering | 2025-05-10T19:00:00+08:00
307434675,,manual,Data Masters Meetup 04-26-2025 | 2025-04-26T19:00:00+08:00
307041190,,manual,Data Engineering Pilipinas Meet-Up Year 2 | 2025-04-12T14:00:00+08:00
307081126,,manual,????�?� DEP AI Study Group - Deep Dive into RAG & Vector Databases! | 2025-04-05T20:00:00+08:00
306988895,"Renzi Vidal, Sean Keiffer Ong",manual,AI Study Group: Mastering Prompt Engineering & AI Reasoning | 2025-03-29T20:00:00+08:00
306590822,"Katherine Bulac, Christian Joel Lazo, Noel Adante, Marc Sandrino",manual,PyCon APAC 2025 Through Fresh Eyes: First-Timer Insights & Takeaways | 2025-03-08T19:00:00+08:00
306458740,"Ian James Maceres, Jasper Kristian Pangan, Kristine Cristobal",manual,DataMasters Episode 7: Data Journeys Unplugged | 2025-03-01T20:00:00+08:00
306275601,Allan Tan,manual,???? AI Study Group Orientation �?? This Saturday! | 2025-02-22T19:00:00+08:00
306170219,"Kristine Joy Cristobal, Katherine Bulac,Ian James Maceres",manual,DataMasters Volunteers' Evening �?? Kwentuhan & Future Planning | 2025-02-15T19:00:00+08:00
305773037,Johannes Paulus “JP” Acuña,manual,DEP DataMasters 2025 Resume Presentation and Interview Practice | 2025-01-25T19:00:00+08:00
304626487,,manual,DEP Data Presenters Online Ep5 2024 | 2024-11-23T19:00:00+08:00
304152386,,manual,DEP Data Presenters Online Ep4 S2 2024 | 2024-10-26T19:00:00+08:00
303634238,,manual,DEP Data Presenters Online Ep2 S2 2024 | 2024-09-28T19:00:00+08:00
303501959,,manual,DEP Data Presenters Online Ep1 S2 2024 | 2024-09-21T19:00:00+08:00
302327137,,manual,DEP Presenters Online - 3rd Session | 2024-07-27T19:00:00+08:00
301846713,,manual,DEP Presenters Online Session 2 Continuation | 2024-06-28T19:00:00+08:00
301749635,,manual,DEP Presenters Online (Second Session) | 2024-06-22T19:00:00+08:00
301112144,,manual,DEP Presenters Online | 2024-05-25T19:00:00+08:00
300623837,,manual,DEP Mentorship Program Kickoff Meeting | 2024-04-29T20:00:00+08:00
299460104,,manual,Community Events 101: How to Enrich Your Learning Journey  | 2024-02-29T19:00:00+08:00
299004463,,manual,KWENTUHAN MEETUP (Online) | 2024-02-08T19:00:00+08:00
298597893,,manual,KWENTUHAN MEETUP | 2024-02-03T14:00:00+08:00
297895460,,manual,Kamustahan: A Panel Discussion on Building a Career in Tech | 2023-12-14T19:00:00+08:00
296692171,,manual,TechSync 2023: Synchronizing Filipino Tech Communities | 2023-10-21T19:00:00+08:00